Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
10101205,MKKBHUHB,MBH 101 Újpest,"1042 Budapest, Árpád út 57-59. FSZ. 1.",S,R
10101212,MKKBHUHB,MBH 101 Ózd,"3600 Ózd, Gyújtó tér 1.",S,R
10101229,MKKBHUHB,MBH 101 Mohács,"7700 Mohács, Szabadság utca 38.",S,R
10101236,MKKBHUHB,MBH 101 Nyíregyháza2,"4400 Nyíregyháza, Kossuth tér 3.",S,R
10101243,MKKBHUHB,MBH 101 Berettyóújfalu,"4100 Berettyóújfalu, Dózsa György utca 24.",S,R
10101250,MKKBHUHB,MBH 101 Mezőkövesd,"3400 Mezőkövesd, Mátyás király út 79.",S,R
10101267,MKKBHUHB,MBH 101 Nagykáta,"2760 Nagykáta, Szabadság tér 12.",S,R
10101274,MKKBHUHB,MBH 101 Kazincbarcika,"3700 Kazincbarcika, Egressy Béni út 26.",S,R
10101281,MKKBHUHB,MBH 101 Békéscsabai2,"5600 Békéscsaba, Munkácsy utca 3.",S,R
10101298,MKKBHUHB,MBH 101 Veszprém,"8200 Veszprém, Mindszenty József utca 7.",S,R
10101308,MKKBHUHB,MBH 101 Budagyöngye 2,"1026 Budapest, Pázsit utca 2.",S,R
10101315,MKKBHUHB,MBH 101 Siófok,"8600 Siófok, Fő tér 7.",S,R
10101322,MKKBHUHB,MBH 101 Érd2,"2030 Érd, Budai út 11.",S,R
10101339,MKKBHUHB,MBH 101 Pestszentimre,"1188 Budapest, Dózsa György utca 2.",S,R
10101346,MKKBHUHB,MBH 101 Dunakeszi,"2120 Dunakeszi, Fő út 16.",S,R
10101353,MKKBHUHB,MBH 101 Belváros,"1065 Budapest, Bajcsy-Zsilinszky út 5.",S,R
10101360,MKKBHUHB,MBH 101 Campona,"1223 Budapest, Nagytétényi út 37-43.",S,R
10101377,MKKBHUHB,MBH 101 József krt.,"1085 Budapest, József körút 36.",S,R
10101384,MKKBHUHB,MBH 101 Debrecen2,"4024 Debrecen, Vár utca 6/A.",S,R
10101391,MKKBHUHB,MBH 101 Nyugati téri 2,"1132 Budapest, Nyugati tér 4.",S,R
10101401,MKKBHUHB,MBH 101 Dombóvár,"7200 Dombovar, Hunyadi János út 20/B.",S,R
10101418,MKKBHUHB,MBH 101 Pécs 2,"7621 Pécs, Rákóczi út 60.",S,R
10101425,MKKBHUHB,MBH 101 Békásmegyer,"1039 Budapest, Heltai Jenő tér 15.",S,R
10101432,MKKBHUHB,MBH 101 Miskolc2,"3530 Miskolc, Széchenyi István út 46.",S,R
10101449,MKKBHUHB,MBH 101 Emke2,"1072 Budapest, Rákóczi út 42.",S,R
10101456,MKKBHUHB,MBH 101 Pécs,"7623 Pécs, Rákóczi út 28.",S,R
10101463,MKKBHUHB,MBH 101 Kispest,"1191 Budapest, Fő utca 7.",S,R
10101470,MKKBHUHB,MBH 101 Nyírpalota,"1156 Budapest, Nyírpalota út 2.",S,R
