Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
50300109,MKKBHUHB,MBH Bank Nyrt.,"7622 Pécs, Bajcsy-Zsilinszky utca 7.",S,R
50300116,MKKBHUHB,MBH Bank Nyrt.,"7622 Pécs, Bajcsy-Zsilinszky utca 7.",S,R
50300123,MKKBHUHB,MBH Bank Nyrt.,"7150 Bonyhád, Szabadság tér 9.",S,R
50300130,MKKBHUHB,MBH Bank Nyrt.,"7720 Pécsvárad, Kossuth Lajos utca 30.",S,R
50300147,MKKBHUHB,MBH Bank Nyrt.,"7030 Paks, Táncsics  Mihály utca 4.",S,R
50300154,MKKBHUHB,MBH Bank Nyrt.,"7100 Szekszárd, Széchenyi utca 62.",S,R
50300161,MKKBHUHB,MBH Bank Nyrt.,"8900 Zalaegerszeg, Eötvös József utca 1-3.",S,R
50300178,MKKBHUHB,MBH Bank Nyrt.,"7400 Kaposvár, Áchim András utca 4.",S,R
50300185,MKKBHUHB,MBH Bank Nyrt.,"7622 Pécs, Bajcsy-Zsilinszky utca 7.",S,R
50300192,MKKBHUHB,MBH Bank Nyrt.,"8800 Nagykanizsa, Erzsébet tér 1.",S,R
50300202,MKKBHUHB,MBH Bank Nyrt.,"8840 Csurgó, Csokonai utca 14.",S,R
50400010,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400027,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400034,MKKBHUHB,MBH Bank Nyrt.,"7712 Dunaszekcső, Kossuth Lajos utca 37.",S,R
50400041,MKKBHUHB,MBH Bank Nyrt.,"7735 Himesháza, Kossuth Lajos utca 62.",S,R
50400058,MKKBHUHB,MBH Bank Nyrt.,"7735 Himesháza, Kossuth Lajos utca 62.",S,R
50400065,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50400072,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400089,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400096,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50400106,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400113,MKKBHUHB,MBH Bank Nyrt.,"7622 Pécs, Bajcsy-Zsilinszky utca 7.",S,R
50400120,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50400137,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50400144,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50400151,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50400168,MKKBHUHB,MBH Bank Nyrt.,"7761 Kozármisleny, Orgona utca 2.",S,R
50400209,MKKBHUHB,MBH Bank Nyrt.,"1117 Budapest, Magyar Tudósok körútja 9.G.épület",S,R
50410033,MKKBHUHB,MBH Bank Nyrt.,"7712 Dunaszekcső, Kossuth Lajos utca 37.",S,R
50410057,MKKBHUHB,MBH Bank Nyrt.,"7735 Himesháza, Kossuth Lajos utca 62.",S,R
50410088,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50410095,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50410105,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50410112,MKKBHUHB,MBH Bank Nyrt.,"7622 Pécs, Bajcsy-Zsilinszky utca 7.",S,R
50410129,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50410136,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50410143,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50410150,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50410167,MKKBHUHB,MBH Bank Nyrt.,"7761 Kozármisleny, Orgona utca 2.",S,R
50410174,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa György utca 31.",S,R
50410181,MKKBHUHB,MBH Bank Nyrt.,"7754 Bóly, Rákóczi Ferenc utca 7/A",S,R
50410198,MKKBHUHB,MBH Bank Nyrt.,"7751 Szederkény, Pécsi út 40.",S,R
50410208,MKKBHUHB,MBH Bank Nyrt.,"7700 Mohács, Dózsa  György utca 31.",S,R
50410215,MKKBHUHB,MBH Bank Nyrt.,"7766 Újpetre, Kossuth utca 16/A.",S,R
50420018,MKKBHUHB,MBH 103 Herend,"8440 Herend, Kossuth Lajos utca 140.",S,R
50420025,MKKBHUHB,MBH Bank Nyrt.,"8230 Balatonfüred, Kossuth Lajos utca 20.",S,R
50420032,MKKBHUHB,MBH Bank Nyrt.,"2451 Ercsi, Szent István út 3.",S,R
50420049,MKKBHUHB,MBH Bank Nyrt.,"2462 Martonvásár, Brunszvik utca 1/B",S,R
50420056,MKKBHUHB,MBH Bank Nyrt.,"2490 Pusztaszabolcs, Adonyi út 41.",S,R
50420063,MKKBHUHB,MBH Bank Nyrt.,"2454 Iváncsa, Szövetkezeti köz 1.",S,R
50420070,MKKBHUHB,MBH Bank Nyrt.,"2475 Kápolnásnyék, Fő utca 29.",S,R
50420087,MKKBHUHB,MBH Bank Nyrt.,"2484 Gárdony-Agárd, Balatoni út 43.",S,R
50420094,MKKBHUHB,MBH Bank Nyrt.,"2462 Martonvásár, Brunszvik utca 1/B",S,R
50420104,MKKBHUHB,MBH Bank Nyrt.,"2475 Kápolnásnyék, Fő utca 29.",S,R
50420111,MKKBHUHB,MBH Bank Nyrt.,"8111 Seregélyes, Fő utca 169.",S,R
50420128,MKKBHUHB,MBH Bank Nyrt.,"8000 Székesfehérvár, Budai út 42.",S,R
50420135,MKKBHUHB,MBH Bank Nyrt.,"1043 Budapest, Árpád út 45.",S,R
50420142,MKKBHUHB,MBH Bank Nyrt.,"2481 Velence, Gerle utca 2.",S,R
50420159,MKKBHUHB,MBH Bank Nyrt.,"8151 Szabadbattyán, Csikvár tér 10.",S,R
50420166,MKKBHUHB,MBH Bank Nyrt.,"8164 Balatonfőkajár, Kossuth  Lajos utca 16.",S,R
50420173,MKKBHUHB,MBH Bank Nyrt.,"8130 Enying, Deák Ferenc utca 1.",S,R
50420180,MKKBHUHB,MBH Bank Nyrt.,"8127 Aba, Petőfi Sándor utca 95.",S,R
50420197,MKKBHUHB,MBH Bank Nyrt.,"8154 Polgárdi, Deák Ferenc utca 13.",S,R
50420207,MKKBHUHB,MBH Bank Nyrt.,"7000 Sárbogárd, Ady Endre út 107.",S,R
50420214,MKKBHUHB,MBH Bank Nyrt.,"7013 Cece, Jókai Mór utca 2.",S,R
50420221,MKKBHUHB,MBH Bank Nyrt.,"8124 Káloz, Bajcsy-Zsilinszky utca 3.",S,R
50420238,MKKBHUHB,MBH Bank Nyrt.,"8136 Lajoskomárom, Enyingi utca 3.",S,R
50420245,MKKBHUHB,MBH Bank Nyrt.,"8124 Káloz, Bajcsy-Zsilinszky utca 3.",S,R
50420252,MKKBHUHB,MBH Bank Nyrt.,"8111 Seregélyes, Fő utca 169.",S,R
50420269,MKKBHUHB,MBH Bank Nyrt.,"2370 Dabas, Szent  István tér 1/D",S,R
50420276,MKKBHUHB,MBH Bank Nyrt.,"2347 Bugyi, Templom utca 6.",S,R
50420283,MKKBHUHB,MBH Bank Nyrt.,"2360 Gyál, Kőrösi út 116.",S,R
50420290,MKKBHUHB,MBH Bank Nyrt.,"2351 Alsónémedi, Fő út 66/A",S,R
50420300,MKKBHUHB,MBH Bank Nyrt.,"2370 Dabas, Szent István tér 1/D",S,R
50420317,MKKBHUHB,MBH Bank Nyrt.,"2330 Dunaharaszti, Baktay Ervin tér 5.",S,R
50420324,MKKBHUHB,MBH Bank Nyrt.,"2030 Érd, Budai út 20.",S,R
50420331,MKKBHUHB,MBH Bank Nyrt.,"2030 Érd, Budai út 20.",S,R
50420348,MKKBHUHB,MBH Bank Nyrt.,"2030 Érd, Hegesztő utca 10.",S,R
50420355,MKKBHUHB,MBH Bank Nyrt.,"2049 Diósd, Szent István tér 12.",S,R
50420362,MKKBHUHB,MBH Bank Nyrt.,"2038 Sóskút, Mártírok utca 5.",S,R
50420379,MKKBHUHB,MBH Bank Nyrt.,"2440 Százhalombatta, Damjanich utca 23.",S,R
50420386,MKKBHUHB,MBH Bank Nyrt.,"2461 Tárnok, Rákóczi út 91.",S,R
50420393,MKKBHUHB,MBH Bank Nyrt.,"2045 Törökbálint, Munkácsy Mihály utca 11.",S,R
50420403,MKKBHUHB,MBH Bank Nyrt.,"2051 Biatorbágy, Szabadság út 11/A.",S,R
50420410,MKKBHUHB,MBH Bank Nyrt.,"2060 Bicske, Csabdi utca 4.",S,R
50420427,MKKBHUHB,MBH Bank Nyrt.,"2092 Budakeszi, Fő utca 126.",S,R
50420434,MKKBHUHB,MBH Bank Nyrt.,"2091 Etyek, Óvoda utca 2.",S,R
50420441,MKKBHUHB,MBH Bank Nyrt.,"2053 Herceghalom, Zsámbéki út 16.",S,R
50420458,MKKBHUHB,MBH Bank Nyrt.,"7081 Simontornya, Mátyás  király utca 2-3.",S,R
50420465,MKKBHUHB,MBH Bank Nyrt.,"7200 Dombóvár, Hunyadi tér 42.",S,R
50420472,MKKBHUHB,MBH Bank Nyrt.,"7200 Dombóvár, Hunyadi tér 42.",S,R
50420489,MKKBHUHB,MBH Bank Nyrt.,"7081 Simontornya, Mátyás  király utca 2-3.",S,R
50420496,MKKBHUHB,MBH Bank Nyrt.,"7081 Simontornya, Mátyás király utca 2-3.",S,R
50420506,MKKBHUHB,MBH Bank Nyrt.,"8258 Badacsonytomaj, Kert utca 12.",S,R
50420513,MKKBHUHB,MBH Bank Nyrt.,"8300 Tapolca, Fő tér 4.",S,R
50420520,MKKBHUHB,MBH Bank Nyrt.,"8400 Ajka, Szabadság tér 11.",S,R
50420537,MKKBHUHB,MBH Bank Nyrt.,"8330 Sümeg, Kossuth Lajos utca 17.",S,R
50420544,MKKBHUHB,MBH Bank Nyrt.,"8330 Sümeg, Kossuth Lajos utca 17.",S,R
50420551,MKKBHUHB,MBH Bank Nyrt.,"8174 Balatonkenese, Fő utca 23.",S,R
50420568,MKKBHUHB,MBH Bank Nyrt.,"8181 Berhida, Szabadság tér 6.",S,R
50420575,MKKBHUHB,MBH Bank Nyrt.,"8220 Balatonalmádi, Baross Gábor út 11.",S,R
50420582,MKKBHUHB,MBH Bank Nyrt.,"8100 Várpalota, Posta út 8.",S,R
50420599,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Budapest út 16.",S,R
50420609,MKKBHUHB,MBH Bank Nyrt.,"8000 Székesfehérvár, Budai út 42.",S,R
50420616,MKKBHUHB,MBH Bank Nyrt.,"8164 Balatonfőkajár, Kossuth Lajos utca 16.",S,R
50420623,MKKBHUHB,MBH Bank Nyrt.,"1015 Budapest, Hattyú utca 18.",S,R
50420630,MKKBHUHB,MBH 103 Herend,"8440 Herend, Kossuth Lajos utca 140.",S,R
50420647,MKKBHUHB,MBH 103 Herend,"8440 Herend, Kossuth Lajos utca 140.",S,R
50420654,MKKBHUHB,MBH Bank Nyrt.,"8460 Devecser, Kossuth  Lajos utca 2.",S,R
50420661,MKKBHUHB,MBH Bank Nyrt.,"8460 Devecser, Kossuth Lajos utca 2.",S,R
50420678,MKKBHUHB,MBH Bank Nyrt.,"1093 Budapest, Czuczor utca 2-10.",S,R
50420685,MKKBHUHB,MBH Bank Nyrt.,"8501 Pápa, Zimmermann utca 1.",S,R
50420692,MKKBHUHB,MBH Bank Nyrt.,"8420 Zirc, József Attila utca 4.",S,R
50420702,MKKBHUHB,MBH Bank Nyrt.,"8417 Csetény, Hunyadi utca 1.",S,R
50420719,MKKBHUHB,MBH Bank Nyrt.,"8420 Zirc, József  Attila utca 4.",S,R
50420726,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Budapest út 16.",S,R
50420733,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Budapest út 16.",S,R
50420740,MKKBHUHB,MBH Bank Nyrt.,"8175 Balatonfűzfő, Bugyogóforrás utca 1.",S,R
50420757,MKKBHUHB,MBH Bank Nyrt.,"1201 Budapest, Kossuth Lajos utca 32-36.",S,R
50420764,MKKBHUHB,MBH Bank Nyrt.,"8500 Pápa, Zimmermann utca 1.",S,R
50420771,MKKBHUHB,MBH Bank Nyrt.,"8501 Pápa, Zimmermann utca 1.",S,R
50420788,MKKBHUHB,MBH Bank Nyrt.,"1117 Budapest, Magyar  Tudósok körútja 9.G.épület",S,R
50420795,MKKBHUHB,MBH Bank Nyrt.,"1015 Budapest, Hattyú utca 18.",S,R
50420805,MKKBHUHB,MBH Bank Nyrt.,"8060 Mór, Deák Ferenc utca 28.",S,R
50420812,MKKBHUHB,MBH Bank Nyrt.,"2060 Bicske, Csabdi út 4.",S,R
50420829,MKKBHUHB,MBH Bank Nyrt.,"2085 Pilisvörösvár, Fő út 69.",S,R
50420836,MKKBHUHB,MBH Bank Nyrt.,"2081 Piliscsaba, Bajcsy-Zsilinszky út 14.",S,R
50420843,MKKBHUHB,MBH Bank Nyrt.,"2085 Pilisvörösvár, Fő út 69.",S,R
50420850,MKKBHUHB,MBH Bank Nyrt.,"2084 Pilisszentiván, Szabadság utca 224/3 hrsz",S,R
50420867,MKKBHUHB,MBH Bank Nyrt.,"2013 Pomáz, Kossuth Lajos utca 5.",S,R
50420874,MKKBHUHB,MBH Bank Nyrt.,"2083 Solymár, Mátyás király utca 14.",S,R
50420881,MKKBHUHB,MBH Bank Nyrt.,"2011 Budakalász, Petőfi tér 11.",S,R
50420898,MKKBHUHB,MBH Bank Nyrt.,"2094 Nagykovácsi, Kossuth Lajos utca 67.",S,R
50420908,MKKBHUHB,MBH Bank Nyrt.,"2096 Üröm, Fő tér 1.",S,R
50420915,MKKBHUHB,MBH Bank Nyrt.,"2081 Piliscsaba, Bajcsy-Zsilinszky út 14.",S,R
50420922,MKKBHUHB,MBH Bank Nyrt.,"2013 Pomáz, Kossuth  Lajos utca 5.",S,R
50420939,MKKBHUHB,MBH Bank Nyrt.,"1033 Budapest, Flórián tér 4-5.",S,R
50420946,MKKBHUHB,MBH Győr ETO Park,"9021 Győr, Nagysándor József utca 31.",S,R
50420953,MKKBHUHB,MBH Bank Nyrt.,"2085 Pilisvörösvár, Fő út 69.",S,R
50420960,MKKBHUHB,MBH Bank Nyrt.,"2023 Dunabogdány, Hajó utca 3.",S,R
50420977,MKKBHUHB,MBH Bank Nyrt.,"2021 Tahitótfalu, Petőfi Sándor utca 27.",S,R
50420984,MKKBHUHB,MBH Bank Nyrt.,"2025 Visegrád, Rév utca 9.",S,R
50420991,MKKBHUHB,MBH Bank Nyrt.,"2021 Tahitótfalu, Petőfi  Sándor utca 27.",S,R
50421002,MKKBHUHB,MBH Bank Nyrt.,"2130 Göd, Pesti út 93.",S,R
50421019,MKKBHUHB,MBH Bank Nyrt.,"2000 Szentendre, Kossuth Lajos utca 22.",S,R
50421026,MKKBHUHB,MBH Bank Nyrt.,"2016 Leányfalu, Móricz Zsigmond út 128/A",S,R
50421033,MKKBHUHB,MBH Bank Nyrt.,"2021 Tahitótfalu, Petőfi  Sándor utca 27.",S,R
50421040,MKKBHUHB,MBH Bank Nyrt.,"2134 Sződ, Dózsa György út 102.",S,R
50421057,MKKBHUHB,MBH Bank Nyrt.,"2133 Sződliget, Dr. Kemény József utca 30.",S,R
50421064,MKKBHUHB,MBH Bank Nyrt.,"2028 Pilismarót, Köztársaság tér 17.",S,R
50421071,MKKBHUHB,MBH Bank Nyrt.,"2541 Lábatlan, Rákóczi Ferenc út 138-140.",S,R
50421088,MKKBHUHB,MBH Bank Nyrt.,"8291 Nagyvázsony, Kinizsi Pál utca 82.",S,R
50421095,MKKBHUHB,MBH Bank Nyrt.,"8291 Nagyvázsony, Kinizsi Pál utca 82.",S,R
50421105,MKKBHUHB,MBH Bank Nyrt.,"8258 Badacsonytomaj, Kert utca 12.",S,R
50421112,MKKBHUHB,MBH Bank Nyrt.,"8300 Tapolca, Fő tér 4.",S,R
50421129,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Budapest út 16.",S,R
50421136,MKKBHUHB,MBH Bank Nyrt.,"8400 Ajka, Szabadság tér 11.",S,R
50421143,MKKBHUHB,MBH Bank Nyrt. - Etele Pláza,"1115 Budapest, Hadak útja 1.",S,R
50421150,MKKBHUHB,MBH Bank Nyrt. - Zenit Corso,"1147 Budapest, Csömöri út 13.",S,R
50421167,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Cserhát lakótelep 7.",S,R
50421174,MKKBHUHB,MBH Bank Nyrt.,"1015 Budapest, Hattyú utca 18.",S,R
50421181,MKKBHUHB,MBH Bank Nyrt.,"1075 Budapest, Károly körút 7.",S,R
50421198,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Budapest út 16.",S,R
50421208,MKKBHUHB,MBH Bank Nyrt.,"8501 Pápa, Zimmermann utca 1.",S,R
50421215,MKKBHUHB,MBH Bank Nyrt.,"8200 Veszprém, Cserhát lakótelep 7.",S,R
50421222,MKKBHUHB,MBH Bank Nyrt.,"8000 Székesfehérvár, Budai út 42.",S,R
50425013,MKKBHUHB,MBH 101 Ajka,"8400 Ajka, Szabadság tér 8.",S,R
50425020,MKKBHUHB,MBH 103 Baja,"6500 Baja, Tóth Kálmán tér 1.",S,R
50425037,MKKBHUHB,MBH 101 Balassagyarmat,"2660 Balassagyarmat, Rákóczi utca 14.",S,R
50425044,MKKBHUHB,MBH 101 Békéscsaba,"5600 Békéscsaba, Andrássy út 18.",S,R
50425051,MKKBHUHB,MBH 101 Berettyóújfalu,"4100 Berettyóújfalu, Dózsa György utca 24.",S,R
50425068,MKKBHUHB,MBH 101 Bicske,"2060 Bicske, Kossuth tér 7.",S,R
50425075,MKKBHUHB,MBH 103 Budaörs,"2040 Budaörs, Szabadság út 45.",S,R
50425082,MKKBHUHB,MBH 103 Árkád,"1148 Budapest, Örs Vezér tere 25.",S,R
50425099,MKKBHUHB,MBH 101 Bartók Béla út,"1114 Budapest, Bartók Béla út 41. Fszt.",S,R
50425109,MKKBHUHB,MBH 101 Békásmegyer,"1039 Budapest, Heltai Jenő tér 15.",S,R
50425116,MKKBHUHB,MBH 101 Belváros,"1065 Budapest, Bajcsy-Zsilinszky út 5.",S,R
50425123,MKKBHUHB,MBH 103 Boráros tér (Duna-ház),"1093 Budapest, Soroksári út 3/C",S,R
50425130,MKKBHUHB,MBH 101 Bosnyák,"1149 Budapest, Nagy Lajos Király útja 146.",S,R
50425147,MKKBHUHB,MBH 101 Budagyöngye,"1126 Budapest, Pázsit utca 2.",S,R
50425154,MKKBHUHB,MBH 101 Campona,"1222 Budapest, Nagytétényi út 37.-43.",S,R
50425161,MKKBHUHB,MBH 101 Csepel,"1211 Budapest, Kossuth Lajos utca 47-49",S,R
50425178,MKKBHUHB,MBH 103 Csepel Plaza,"1212 Budapest, Rákóczi Ferenc út 154-170.",S,R
50425185,MKKBHUHB,MBH 101 Délbuda,"1119 Budapest, Etele út 57.",S,R
50425192,MKKBHUHB,MBH 103 Duna Plaza,"1138 Budapest, Váci út 178-182.",S,R
50425202,MKKBHUHB,MBH 101 Emke,"1072 Budapest, Rákóczi út 42.",S,R
50425219,MKKBHUHB,MBH 101 Északpest,"1138 Budapest, Váci utca 193.",S,R
50425226,MKKBHUHB,MBH 103 Eurocenter,"1032 Budapest, Bécsi út 154.",S,R
50425233,MKKBHUHB,MBH 103 Fehérvári út,"1119 Budapest, Fehérvári út 95.",S,R
50425240,MKKBHUHB,MBH 101 Fogarasi út,"1148 Budapest, Fogarasi út 13.",S,R
50425257,MKKBHUHB,MBH 101 Gazdagrét,"1118 Budapest, Rétköz utca 7.",S,R
50425264,MKKBHUHB,MBH 101 Kispest,"1191 Budapest, Fő utca 7.",S,R
50425271,MKKBHUHB,MBH 101 Kőbánya,"1102 Budapest, Kőrösi Csoma sétány 4.",S,R
50425288,MKKBHUHB,MBH 101 Lipótváros,"1055 Budapest, Kossuth tér 10.",S,R
50425295,MKKBHUHB,MBH 103 Mammut,"1015 Budapest, Széna tér 4.",S,R
50425305,MKKBHUHB,MBH 103 MOM Park,"1123 Budapest, Alkotás út 53.",S,R
50425312,MKKBHUHB,MBH 101 Nyírpalota út,"1156 Budapest, Nyírpalota utca 2.",S,R
50425329,MKKBHUHB,MBH 103 Nyugati tér,"1132 Budapest, Nyugati tér 5.",S,R
50425336,MKKBHUHB,MBH 101 Óbuda,"1023 Budapest, Lajos utca 30.",S,R
50425343,MKKBHUHB,MBH 101 Pesterzsébet,"1203 Budapest, Török Flóris utca 70.",S,R
50425350,MKKBHUHB,MBH 101 Pestszentimre,"1188 Budapest, Dózsa György utca 2.",S,R
50425367,MKKBHUHB,MBH 101 Pestszentlőrinc,"1184 Budapest, Üllői út 396.",S,R
50425374,MKKBHUHB,MBH 101 Rákoskeresztúr,"1173 Budapest, Pesti út 159-163.",S,R
50425381,MKKBHUHB,MBH 101 Rákosszentmihály,"1161 Budapest, Rákosi út 128.",S,R
50425398,MKKBHUHB,MBH 103 Székház,"1132 Budapest, Váci utca 38.",S,R
50425408,MKKBHUHB,MBH 103 Szent István tér,"1051 Budapest, Hercegprímás utca 10.",S,R
50425415,MKKBHUHB,MBH 103 Thököly út,"1046 Budapest, Thököly út 100/a",S,R
50425422,MKKBHUHB,MBH 101 Újpest,"1042 Budapest, Árpád út 57-59. fsz. 1.",S,R
50425439,MKKBHUHB,MBH 101 Váci Greens,"1044 Budapest, Váci út 117-119. A épület",S,R
50425446,MKKBHUHB,MBH 101 Cegléd,"2738 Cegléd, Rákóczi utca 2.",S,R
50425453,MKKBHUHB,MBH 101 Dabas,"2370 Dabas, Falu Tamás utca 4.",S,R
50425460,MKKBHUHB,MBH 101 Debrecen,"4024 Debrecen, Vár utca 6/a",S,R
50425477,MKKBHUHB,MBH 101 Dombóvár,"7200 Dombóvár, Huyadi János tér 20/b fsz. 1.",S,R
50425484,MKKBHUHB,MBH 103 Dunakeszi,"2120 Dunakeszi, Fő út 16-18",S,R
50425491,MKKBHUHB,MBH 101 Dunaújváros,"2400 Dunaújváros, Dózsa György út 4/b",S,R
50425501,MKKBHUHB,MBH 101 Eger,"3300 Eger, Almagyar utca 5.",S,R
50425518,MKKBHUHB,MBH 101 Esztergom,"2500 Esztergom, Kossuth Lajos utca 14.-18. fsz. 4.",S,R
50425525,MKKBHUHB,MBH 101 Balatonboglár,"8630 Balatonboglár, Sétáló utca 3.",S,R
50425532,MKKBHUHB,MBH 101 Gödöllő,"2100 Gödöllő, Kossuth út 13.",S,R
50425549,MKKBHUHB,MBH 101 Gyöngyös,"3035 Gyöngyös, Fő tér 19.",S,R
50425556,MKKBHUHB,MBH 101 Győr,"9021 Győr, Bajcsy-Zsilinszky utca 36.",S,R
50425563,MKKBHUHB,MBH 103 Győr - Árkád,"9027 Győr, Budai út 1.",S,R
50425570,MKKBHUHB,MBH 101 Hajdúböszörmény,"4074 Hajdúböszörmény, Szent István tér 2.",S,R
50425587,MKKBHUHB,MBH 101 Hatvan,"3000 Hatvan, Kossuth tér 23.",S,R
50425594,MKKBHUHB,MBH 103 Hódmezővásárhely,"6800 Hódmezővásárhely, Kossuth tér 2.",S,R
50425604,MKKBHUHB,MBH 101 Hódmezővásárhely,"6800 Hódmezővásárhely, Dr. Rabcsák Aút 4. fsz. 2.",S,R
50425611,MKKBHUHB,MBH 101 Jászberény,"5100 Jászberény, Lehel vezér tér 32.-33.",S,R
50425628,MKKBHUHB,MBH 101 Kalocsa,"6300 Kalocsa, István király utca 57.",S,R
50425635,MKKBHUHB,MBH 101 Kaposvár,"7400 Kaposvár, Fő utca 3.",S,R
50425642,MKKBHUHB,MBH 101 Karcag,"5300 Karcag, Horváth utca 5. fsz. 1.",S,R
50425659,MKKBHUHB,MBH 101 Kazincbarcika,"3700 Kazincbarcika, Egressy Béni utca 26.",S,R
50425666,MKKBHUHB,MBH 103 Kecskemét,"6000 Kecskemét, Katona József tér 1.",S,R
50425673,MKKBHUHB,MBH 101 Kecskemét,"6000 Kecskemét, Nagykőrösi utca 2.",S,R
50425680,MKKBHUHB,MBH 101 Keszthely,"8360 Keszthely, Kossuth Lajos utca 103.",S,R
50425697,MKKBHUHB,MBH 101 Kiskőrös,"6200 Kiskőrös, Petőfi tér 18.",S,R
50425707,MKKBHUHB,MBH 101 Kiskunhalas,"6400 Kiskunhalas, Kossuth utca 10.",S,R
50425714,MKKBHUHB,MBH 103 Kisvárda,"4600 Kisvárda, Szt. László utca 51.",S,R
50425721,MKKBHUHB,MBH 101 Kisvárda,"4600 Kisvárda, Szt. László utca 14.",S,R
50425738,MKKBHUHB,MBH 101 Komárom,"2900 Komárom, Igmándi út 17.",S,R
50425745,MKKBHUHB,MBH 101 Mezőkövesd,"3400 Mezőkövesd, Mátyás király út 79.",S,R
50425752,MKKBHUHB,MBH 101 Miskolc,"3530 Miskolc, Széchenyi utca 46.",S,R
50425769,MKKBHUHB,MBH 101 Mohács,"7700 Mohács, Szabadság utca 38.",S,R
50425776,MKKBHUHB,MBH 101 Monor,"2200 Monor, Kossuth utca 73.",S,R
50425783,MKKBHUHB,MBH 103 Mosonmagyaróvár,"9200 Mosonmagyaróvár, Magyar utca 26.-28.",S,R
50425790,MKKBHUHB,MBH 101 Mosonmagyaróvár,"9200 Mosonmagyaróvár, Fő utca 22.",S,R
50425800,MKKBHUHB,MBH 101 Nagykanizsa,"8800 Nagykanizsa, Erzsébet tér 19.",S,R
50425817,MKKBHUHB,MBH 101 Nagykáta,"2760 Nagykáta, Szabadság tér 12.",S,R
50425824,MKKBHUHB,MBH 103 Nyíregyháza,"4246 Nyíregyháza, Szarvas utca 11.",S,R
50425831,MKKBHUHB,MBH 101 Orosháza,"5900 Orosháza, Könd utca 38.",S,R
50425848,MKKBHUHB,MBH 101 Ózd,"3600 Ózd, Gyújtó tér 1.",S,R
50425855,MKKBHUHB,MBH 103 Paks,"7030 Paks, Dózsa György út 75.",S,R
50425862,MKKBHUHB,MBH 101 Paks,"7030 Paks, Dózsa György út 45.",S,R
50425879,MKKBHUHB,MBH 101 Pápa,"8500 Pápa, Szent László utca 1.",S,R
50425886,MKKBHUHB,MBH 101 Pécs,"7621 Pécs, Rákóczi út 60.",S,R
50425893,MKKBHUHB,MBH 101 Ráckeve,"2300 Ráckeve, Kossuth utca 47.",S,R
50425903,MKKBHUHB,MBH 101 Szigetszentmiklós,"2310 Szigetszentmiklós, Losonczi utca 1.",S,R
50425910,MKKBHUHB,MBH 103 Salgótarján,"3100 Salgótarján, Fő tér 6.",S,R
50425927,MKKBHUHB,MBH 101 Salgótarján,"3100 Salgótarján, Losonczi utca 2.",S,R
50425934,MKKBHUHB,MBH 103 Siófok,"8600 Siófok, Sió utca 2.",S,R
50425941,MKKBHUHB,MBH 103 Sopron,"9400 Sopron, Várkerület 16.",S,R
50425958,MKKBHUHB,MBH 103 Szeged,"6720 Szeged, Kölcsey utca 8.",S,R
50425965,MKKBHUHB,MBH 103 Szekszárd,"7100 Szekszárd, Garay tér 8.",S,R
50425972,MKKBHUHB,MBH 101 Szentendre,"2000 Szentendre, Dunakorzó 18.",S,R
50425989,MKKBHUHB,MBH 101 Szolnok,"5000 Szolnok, Hősök tere 1.",S,R
